edge	TN	FP	FN	TP	p	r	type	method	change	X11	SUNIT	SIZE	NGEN	CLADE_SIZE	HEIGHT_NGEN	HEIGHT_EDGE	DEPTH_NGEN	DEPTH_EDGE	TOTAL_NGEN	CU	emission	expanded	ilr	transition_prior	bestK	recall	precision	f1	acc	fpr	fnr	emission_prior
Accipitriformes	856	344	190	110	0.2	1	population_size_change	bcbhmm	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Barycentric QQS bins	TRUE	FALSE	FALSE	FALSE	0.366666666666667	0.242290748898678	0.291777188328912	0.644	0.286666666666667	0.633333333333333	No prior
Accipitriformes	797	328	244	131	0.25	1	population_size_change	bcbhmm	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Barycentric QQS bins	TRUE	FALSE	FALSE	FALSE	0.349333333333333	0.285403050108932	0.314148681055156	0.618666666666667	0.291555555555556	0.650666666666667	No prior
Accipitriformes	1408	17	75	0	0.05	1	population_size_change	phlag_dto_eap01_ena4_updated	10X_up	0.212664544582367	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Topology order	TRUE	FALSE	TRUE	FALSE	0	0	0	0.938666666666667	0.0119298245614035	1	Updated branch lengths
Accipitriformes	970	455	43	32	0.05	1	population_size_change	cqshmm	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	K-means QQS bins	FALSE	FALSE	FALSE	TRUE	0.426666666666667	0.0657084188911704	0.113879003558719	0.668	0.319298245614035	0.573333333333333	No prior
Accipitriformes	926	349	142	83	0.15	1	population_size_change	bcbhmm	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Barycentric QQS bins	TRUE	FALSE	FALSE	FALSE	0.368888888888889	0.19212962962963	0.252663622526636	0.672666666666667	0.273725490196078	0.631111111111111	No prior
Accipitriformes	1186	284	30	0	0.02	1	population_size_change	bcbhmm_sc	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Barycentric QQS bins	FALSE	FALSE	FALSE	TRUE	0	0	0	0.790666666666667	0.193197278911565	1	No prior
Accipitriformes	916	284	203	97	0.2	1	population_size_change	dtohmm	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Topology order	TRUE	FALSE	FALSE	FALSE	0.323333333333333	0.254593175853018	0.284875183553598	0.675333333333333	0.236666666666667	0.676666666666667	No prior
Accipitriformes	1424	1	75	0	0.05	1	population_size_change	pbphmm	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Bipartition	FALSE	FALSE	FALSE	FALSE	0	0	0	0.949333333333333	0.000701754385964912	1	No prior
Accipitriformes	1238	37	225	0	0.15	1	population_size_change	phlag_dto_eap01_ena4_free	10X_up	0.171919271349907	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Topology order	TRUE	FALSE	TRUE	FALSE	0	0	0	0.825333333333333	0.0290196078431373	1	No prior
Accipitriformes	1230	45	215	10	0.15	1	population_size_change	phlag_dto_eap01_ena4_fixed	10X_up	0.171919271349907	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Topology order	TRUE	FALSE	TRUE	FALSE	0.0444444444444444	0.181818181818182	0.0714285714285714	0.826666666666667	0.0352941176470588	0.955555555555556	Fixed branch lengths
Accipitriformes	1230	45	215	10	0.15	1	population_size_change	phlag_dto_eap01_ena4_updated	10X_up	0.171919271349907	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Topology order	TRUE	FALSE	TRUE	FALSE	0.0444444444444444	0.181818181818182	0.0714285714285714	0.826666666666667	0.0352941176470588	0.955555555555556	Updated branch lengths
Accipitriformes	1355	70	72	3	0.05	1	population_size_change	gqshmm_ilr	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Gaussian QQS	FALSE	TRUE	FALSE	FALSE	0.04	0.0410958904109589	0.0405405405405405	0.905333333333333	0.0491228070175439	0.96	No prior
Accipitriformes	970	455	75	0	0.05	1	population_size_change	phlag_dto_eap01_ena4_esp001	10X_up	0.212664544582367	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Topology order	TRUE	FALSE	TRUE	FALSE	0	0	0	0.646666666666667	0.319298245614035	1	Penalty-based prior
Accipitriformes	1242	33	215	10	0.15	1	population_size_change	pbphmm	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Bipartition	TRUE	FALSE	FALSE	FALSE	0.0444444444444444	0.232558139534884	0.0746268656716418	0.834666666666667	0.0258823529411765	0.955555555555556	No prior
Accipitriformes	1452	18	29	1	0.02	1	population_size_change	pbphmm	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Bipartition	TRUE	FALSE	FALSE	FALSE	0.0333333333333333	0.0526315789473684	0.0408163265306122	0.968666666666667	0.0122448979591837	0.966666666666667	No prior
Accipitriformes	1425	0	75	0	0.05	1	population_size_change	phlag_dto_eap01_ena4_fixed	10X_up	0.212664544582367	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Topology order	FALSE	FALSE	TRUE	FALSE	0	NA	0	0.95	0	1	Fixed branch lengths
Accipitriformes	1182	18	293	7	0.2	1	population_size_change	pbphmm	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Bipartition	TRUE	FALSE	FALSE	FALSE	0.0233333333333333	0.28	0.0430769230769231	0.792666666666667	0.015	0.976666666666667	No prior
Accipitriformes	1181	19	299	1	0.2	1	population_size_change	gqshmm	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Gaussian QQS	TRUE	FALSE	FALSE	FALSE	0.00333333333333333	0.05	0.00625	0.788	0.0158333333333333	0.996666666666667	No prior
Accipitriformes	1280	190	30	0	0.02	1	population_size_change	bcbhmm	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Barycentric QQS bins	FALSE	FALSE	FALSE	FALSE	0	0	0	0.853333333333333	0.129251700680272	1	No prior
Accipitriformes	838	437	172	53	0.15	1	population_size_change	cqshmm_ilr	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	K-means QQS bins	FALSE	TRUE	FALSE	TRUE	0.235555555555556	0.108163265306122	0.148251748251748	0.594	0.342745098039216	0.764444444444444	No prior
Accipitriformes	1319	106	72	3	0.05	1	population_size_change	gqshmm	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Gaussian QQS	TRUE	FALSE	FALSE	FALSE	0.04	0.0275229357798165	0.0326086956521739	0.881333333333333	0.0743859649122807	0.96	No prior
Accipitriformes	823	377	0	300	0.2	1	population_size_change	phlag_dto_eap01_ena4_fixed	10X_up	0.18135766685009	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Topology order	TRUE	FALSE	TRUE	FALSE	1	0.443131462333826	0.614124872057318	0.748666666666667	0.314166666666667	0	Fixed branch lengths
Accipitriformes	1000	200	228	72	0.2	1	population_size_change	mlthmm	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Dominant topolgy	TRUE	FALSE	FALSE	FALSE	0.24	0.264705882352941	0.251748251748252	0.714666666666667	0.166666666666667	0.76	No prior
Accipitriformes	1066	404	24	6	0.02	1	population_size_change	cqshmm_ilr	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	K-means QQS bins	FALSE	TRUE	FALSE	TRUE	0.2	0.0146341463414634	0.0272727272727273	0.714666666666667	0.274829931972789	0.8	No prior
Accipitriformes	689	586	112	113	0.15	1	population_size_change	mlthmm	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Dominant topolgy	TRUE	FALSE	FALSE	FALSE	0.502222222222222	0.161659513590844	0.244588744588745	0.534666666666667	0.459607843137255	0.497777777777778	No prior
Accipitriformes	1088	37	375	0	0.25	1	population_size_change	phlag_dto_eap01_ena4_free	10X_up	0.160606369376183	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Topology order	TRUE	FALSE	TRUE	FALSE	0	0	0	0.725333333333333	0.0328888888888889	1	No prior
Accipitriformes	601	524	375	0	0.25	1	population_size_change	phlag_dto_eap01_ena4_fixed	10X_up	0.160606369376183	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Topology order	TRUE	FALSE	TRUE	FALSE	0	0	0	0.400666666666667	0.465777777777778	1	Fixed branch lengths
Accipitriformes	1425	0	75	0	0.05	1	population_size_change	phlag_dto_eap01_ena4_free	10X_up	0.212664544582367	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Topology order	FALSE	FALSE	TRUE	FALSE	0	NA	0	0.95	0	1	No prior
Accipitriformes	1026	444	17	13	0.02	1	population_size_change	cqshmm_ilr	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	K-means QQS bins	TRUE	TRUE	FALSE	TRUE	0.433333333333333	0.0284463894967177	0.053388090349076	0.692666666666667	0.302040816326531	0.566666666666667	No prior
Accipitriformes	1283	67	139	11	0.1	1	population_size_change	gqshmm_ilr	10X_up	145973.170731707	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Gaussian QQS	FALSE	TRUE	FALSE	FALSE	0.0733333333333333	0.141025641025641	0.0964912280701754	0.862666666666667	0.0496296296296296	0.926666666666667	No prior
Accipitriformes	1400	25	75	0	0.05	1	population_size_change	phlag_dto_eap01_ena4_free	10X_up	0.212664544582367	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Topology order	TRUE	FALSE	TRUE	FALSE	0	0	0	0.933333333333333	0.0175438596491228	1	No prior
Accipitriformes	1312	38	150	0	0.1	1	population_size_change	phlag_dto_eap01_ena4_esp001	10X_up	0.195992738008499	0.002415	465426.767803721	119697.99999999997	8	6337380	7	3081872	9	23384886	0.128589509972575	Topology order	FALSE	FALSE	TRUE	FALSE	0	0	0	0.874666666666667	0.0281481481481481	1	Penalty-based prior
