	t1	t2	t3
Phoenicopteriformes_g	0.9993333	0.0	0.00066666666
N81	0.68333334	0.174	0.14266667
Pterocliformes	1.0	0.0	0.0
N83	0.49170136	0.24879496	0.25950366
N86	0.5877778	0.19488889	0.21733333
N90	0.98665017	0.006674923	0.006674923
N91	0.41116667	0.30966666	0.27916667
Columbiformes	1.0	0.0	0.0
N93	0.34335226	0.32312575	0.33352196
N97	0.96933335	0.014	0.016666668
Musophagiformes	0.99947304	0.000100106496	0.00042683704
N102	0.7726667	0.114	0.11333334
Otidiformes	1.0	0.0	0.0
N106	0.96133333	0.020266667	0.018399999
N109	1.0	0.0	0.0
N113	0.9573333	0.023329206	0.01933746
N114	0.989	0.005337487	0.005662513
N115	0.9483333	0.029555557	0.022111112
Cuculiformes	0.99997044	2.320675e-05	6.3291136e-06
N117	0.33623144	0.31007522	0.35369328
N118	0.37994912	0.31178963	0.30826125
N119	0.34237745	0.3365191	0.32110342
N124	1.0	0.0	0.0
N125	0.9957889	0.0020397075	0.0021713688
N130	0.93332094	0.034	0.03267905
N131	0.97199595	0.011343685	0.016660456
N132	0.78480667	0.117336825	0.097856484
Gruiformes	0.9958421	0.0028975091	0.0012603449
N137	1.0	0.0	0.0
N138	0.8819604	0.061859977	0.05617973
N141	0.92602587	0.03410973	0.03986439
N144	0.9317464	0.03329503	0.034958594
N145	0.96659476	0.015521595	0.017883664
N146	0.83062696	0.07470146	0.09467163
N150	0.6972817	0.14538287	0.1573354
N151	0.90138495	0.046380505	0.05223459
N154	0.9433513	0.028456213	0.028192455
N158	0.90465635	0.054703817	0.040639833
N159	0.88583595	0.05902648	0.05513759
N160	0.9476359	0.026210342	0.026153738
N161	0.9869146	0.0073655597	0.005719935
N166	0.8686006	0.066668734	0.06473065
N167	0.9091294	0.04256241	0.048308197
N173	0.92602897	0.038646027	0.03532508
N174	0.7480653	0.12336645	0.12856832
N175	0.848702	0.085909314	0.06538871
N176	0.61011785	0.19827066	0.19161148
N179	0.37194738	0.31159988	0.31645277
N183	0.5293292	0.22002064	0.25065014
N184	0.9904906	0.0038457944	0.0056635514
N185	0.83169776	0.09308678	0.07521555
N186	0.9244469	0.03648764	0.039065477
N187	0.94050854	0.031222934	0.02826852
N188	0.755372	0.12304148	0.12158654
N189	0.90830225	0.049568903	0.042128902
Charadriiformes	0.9921038	0.0034458726	0.004450261
N191	0.3447536	0.31949857	0.3357478
N192	0.33917522	0.32596046	0.3348643
N196	0.7453333	0.13066667	0.124
Caprimulgidae	1.0	0.0	0.0
Nyctibiidae	0.99933547	0.0	0.0006646027
N202	0.33564594	0.3040971	0.3602569
N207	0.9933312	0.0026708075	0.0039979294
N210	1.0	0.0	0.0
N211	0.93737483	0.027043615	0.035581518
N212	0.9074219	0.047057293	0.045520835
Caprimulgiformes1	0.39710757	0.2887069	0.3141855
N214	0.3958974	0.29695728	0.30714533
N215	0.6342506	0.18672936	0.1790201
Eurypygiformes	1.0	0.0	0.0
N220	0.5058095	0.24631132	0.2478792
Sphenisciformes	0.996027	0.0019936909	0.00197927
N228	0.9835052	0.007813541	0.00868125
N233	0.6346729	0.17999792	0.18532923
N234	0.9909928	0.004672878	0.0043343683
N235	0.5940545	0.20583437	0.20011112
N236	0.5772534	0.21022233	0.2125243
Procellariiformes	0.9101679	0.05021942	0.039612688
N238	0.3811424	0.3104786	0.308379
N242	0.9927607	0.0028125395	0.0044267504
N245	0.9993333	0.0	0.00066666666
N249	0.35266256	0.3253189	0.32201856
N250	0.9774912	0.012448599	0.010060228
N251	0.3701233	0.31815362	0.3117231
N252	0.47592634	0.26443323	0.25964043
N257	0.98319834	0.007989551	0.008812121
N260	0.46599376	0.28000626	0.254
N264	0.6172343	0.18273064	0.20003508
N265	0.7945052	0.103	0.10249481
N266	0.98355633	0.0077777784	0.0086659705
N267	0.8086095	0.10079476	0.090595804
N268	0.99160826	0.0040997444	0.0042920234
N269	0.82394826	0.08929463	0.08675714
N270	0.5158241	0.25187165	0.23230428
Pelecaniformes	0.42222998	0.2836424	0.2941276
N272	0.55408955	0.21808659	0.22782385
N273	0.53861207	0.23213147	0.22925644
N274	0.35156786	0.3226314	0.32580075
N275	0.32670084	0.34125844	0.33204073
N276	0.3345911	0.324601	0.3408079
N281	0.992	0.004	0.004
N282	0.99733955	0.0010828157	0.0015776397
Strigiformes	0.8818833	0.06531493	0.052801747
N290	0.94033027	0.030668737	0.029001035
N293	0.91133225	0.04435921	0.044308487
N294	0.65132713	0.18583438	0.16283852
N295	0.98733336	0.003998958	0.008667708
N296	0.9506344	0.026335632	0.023029886
N297	0.9499284	0.025891686	0.024179945
Accipitriformes	0.46196565	0.27460214	0.2634322
N299	0.34029487	0.3250248	0.3346803
Coliiformes	1.0	0.0	0.0
Trogoniformes	1.0	0.0	0.0
N309	1.0	0.0	0.0
N312	1.0	0.0	0.0
Bucerotiformes	0.8385288	0.07610967	0.08536149
N317	0.9859773	0.008033024	0.00598968
N318	0.60204613	0.19274339	0.20521049
N324	0.47799584	0.25799793	0.2640062
N325	0.98333544	0.008664597	0.008
N326	0.7688952	0.13510281	0.09600207
N327	0.93630713	0.038970478	0.0247224
Coraciiformes	0.9671181	0.016247218	0.01663472
N331	0.9813417	0.007375394	0.011282859
N334	0.98466665	0.008666666	0.006666667
N340	0.65466666	0.18733333	0.158
N341	0.99899787	0.001	2.0703935e-06
N342	0.60643613	0.20422223	0.18934163
N343	0.99158335	0.0013333333	0.0070833336
N344	0.9993333	0.00066666666	0.0
Piciformes	0.8258684	0.08808657	0.08604504
N346	0.6266898	0.18395889	0.18935128
N347	0.6462675	0.18462059	0.1691119
N348	0.38592505	0.31561422	0.29846072
N349	0.46481034	0.27373663	0.26145303
N350	0.35070753	0.3314622	0.3178303
N351	0.3549454	0.31499487	0.33005977
Cariamiformes	1.0	0.0	0.0
N358	0.998	0.00066666666	0.0013333333
Falconiformes	0.9995324	0.000375	9.25926e-05
N363	0.9915556	0.0044444446	0.004
N367	0.91065633	0.043337464	0.046006195
N368	0.90766454	0.035998963	0.056336448
N369	0.97355556	0.013333334	0.013111112
Psittaciformes	1.0	0.0	0.0
N374	0.96885365	0.017708333	0.013438022
N377	0.37364182	0.30594823	0.32040995
N380	0.8624296	0.06783748	0.06973292
