LABEL	SRATE
Struthio_camelus	0.060527
Casuarius_casuarius	0.011284
Dromaius_novaehollandiae	0.015706
Casuariiformes	0.014771
Apteryx_haastii	0.00059
Apteryx_owenii	0.000684
N6	0.001967
Apteryx_australis	0.001219
Apteryx_rowi	0.001088
N9	0.001171
Apterygiformes	0.019071
N11	0.000164
Rhea_americana	0.000573
Rhea_pennata	0.000705
Rheiformes	0.060529
Eudromia_elegans	0.079271
Nothoprocta_perdicaria	0.017559
Nothoprocta_ornata	0.001384
Nothoprocta_pentlandii	0.001388
N19	0.005292
N20	0.030972
N21	0.005112
Nothocercus_julius	0.013167
Nothocercus_nigrocapillus	0.013328
N24	0.032591
Tinamus_guttatus	0.04391
Crypturellus_soui	0.020192
Crypturellus_cinnamomeus	0.007183
Crypturellus_undulatus	0.006537
N29	0.005814
N30	0.026849
N31	0.009311
N32	0.006222
Tinamiformes	0.076163
N34	0.002816
N35	0.012688
N36	0.08045669702983141
Chauna_torquata	0.055019
Anseranas_semipalmata	0.043813
Anser_cygnoid	0.019163
Cairina_moschata	0.011505
Asarcornis_scutulata	0.011329
Anas_platyrhynchos	0.001299
Anas_zonorhyncha	0.001304
N44	0.008233
N45	0.002006
N46	0.023499
N47	0.050031
N48	0.0072
Anseriformes	0.007002
Alectura_lathami	0.09024
Penelope_pileata	0.085371
Numida_meleagris	0.047022
Odontophorus_gujanensis	0.026094
Colinus_virginianus	0.011564
Callipepla_squamata	0.012946
N56	0.018749
N57	0.046118
Gallus_gallus	0.038502
Coturnix_japonica	0.065056
N60	0.002991
Phasianus_colchicus	0.027595
Meleagris_gallopavo	0.026889
Tympanuchus_cupido	0.036351
N64	0.003151
N65	0.017003
N66	0.017515
N67	0.004167
N68	0.032865
N69	0.011316
Galliformes	0.026231
N71	0.039037
Phoenicopterus_ruber	0.031742
Podiceps_cristatus	0.011657
Podilymbus_podiceps	0.018568
Phoenicopteriformes_g	0.037684
N76	0.013946
Mesitornis_unicolor	0.093832
Pterocles_burchelli	0.021349
Pterocles_gutturalis	0.018626
Syrrhaptes_paradoxus	0.026737
N81	0.002301
Pterocliformes	0.056338
N83	0.00581
Alopecoenas_beccarii	0.033286
Caloenas_nicobarica	0.025542
N86	0.001682
Columbina_picui	0.04384
Columba_livia	0.023458
Patagioenas_fasciata	0.024657
N90	0.010112
N91	0.001135
Columbiformes	0.06246
N93	0.002771
Tauraco_erythrolophus	0.038326
Corythaeola_cristata	0.023568
Corythaixoides_concolor	0.025596
