population_size_change/p020-anomaly_case-N716_10X_up	1184	16	300	0	0.2	1.0
population_size_change/p010-anomaly_case-N274_10X_down	816	534	116	34	0.1	1.0
population_size_change/p002-anomaly_case-N299_10X_down	940	530	5	25	0.02	1.0
population_size_change/p020-anomaly_case-N220_10X_up	743	457	217	83	0.2	1.0
population_size_change/p025-anomaly_case-N238_10X_up	1072	53	352	23	0.25	1.0
population_size_change/p015-anomaly_case-N717_10X_down	1208	67	29	196	0.15	1.0
population_size_change/p005-anomaly_case-N274_10X_down	860	565	64	11	0.05	1.0
population_size_change/p005-anomaly_case-N119_10X_down	866	559	43	32	0.05	1.0
population_size_change/p025-anomaly_case-N299_10X_down	781	344	279	96	0.25	1.0
population_size_change/p002-anomaly_case-N238_10X_up	1387	83	22	8	0.02	1.0
population_size_change/p005-anomaly_case-N716_10X_up	1399	26	73	2	0.05	1.0
population_size_change/p005-anomaly_case-N717_10X_down	1314	111	75	0	0.05	1.0
population_size_change/p010-anomaly_case-N220_10X_up	678	672	141	9	0.1	1.0
population_size_change/p025-anomaly_case-N716_10X_up	1111	14	375	0	0.25	1.0
population_size_change/p015-anomaly_case-N274_10X_down	741	534	180	45	0.15	1.0
population_size_change/p015-anomaly_case-N716_10X_up	1266	9	225	0	0.15	1.0
population_size_change/p010-anomaly_case-N118_10X_up	668	682	97	53	0.1	1.0
population_size_change/p002-anomaly_case-N220_10X_up	1078	392	15	15	0.02	1.0
population_size_change/p025-anomaly_case-N498_10X_down	661	464	147	228	0.25	1.0
population_size_change/p002-anomaly_case-N716_10X_up	1440	30	28	2	0.02	1.0
population_size_change/p002-anomaly_case-N274_10X_down	885	585	29	1	0.02	1.0
population_size_change/p002-anomaly_case-N118_10X_up	922	548	19	11	0.02	1.0
population_size_change/p025-anomaly_case-N620_10X_up	703	422	238	137	0.25	1.0
population_size_change/p002-anomaly_case-N498_10X_down	923	547	10	20	0.02	1.0
population_size_change/p010-anomaly_case-N717_10X_down	1235	115	146	4	0.1	1.0
population_size_change/p010-anomaly_case-N716_10X_up	1322	28	148	2	0.1	1.0
population_size_change/p005-anomaly_case-N238_10X_up	1363	62	66	9	0.05	1.0
population_size_change/p015-anomaly_case-N118_10X_up	774	501	130	95	0.15	1.0
population_size_change/p005-anomaly_case-N620_10X_up	1179	246	72	3	0.05	1.0
population_size_change/p002-anomaly_case-N119_10X_down	886	584	20	10	0.02	1.0
population_size_change/p020-anomaly_case-N238_10X_up	1106	94	269	31	0.2	1.0
population_size_change/p025-anomaly_case-N274_10X_down	540	585	322	53	0.25	1.0
population_size_change/p020-anomaly_case-N717_10X_down	1180	20	0	300	0.2	1.0
population_size_change/p010-anomaly_case-N299_10X_down	830	520	59	91	0.1	1.0
population_size_change/p015-anomaly_case-N119_10X_down	692	583	171	54	0.15	1.0
population_size_change/p020-anomaly_case-N118_10X_up	653	547	167	133	0.2	1.0
population_size_change/p025-anomaly_case-N220_10X_up	794	331	287	88	0.25	1.0
population_size_change/p025-anomaly_case-N118_10X_up	595	530	217	158	0.25	1.0
population_size_change/p020-anomaly_case-N299_10X_down	699	501	240	60	0.2	1.0
population_size_change/p005-anomaly_case-N299_10X_down	952	473	40	35	0.05	1.0
population_size_change/p015-anomaly_case-N220_10X_up	941	334	193	32	0.15	1.0
population_size_change/p020-anomaly_case-N274_10X_down	562	638	237	63	0.2	1.0
population_size_change/p005-anomaly_case-N118_10X_up	710	715	42	33	0.05	1.0
population_size_change/p002-anomaly_case-N620_10X_up	1217	253	30	0	0.02	1.0
population_size_change/p020-anomaly_case-N498_10X_down	771	429	223	77	0.2	1.0
population_size_change/p015-anomaly_case-N299_10X_down	796	479	102	123	0.15	1.0
population_size_change/p020-anomaly_case-N620_10X_up	1056	144	272	28	0.2	1.0
population_size_change/p025-anomaly_case-N119_10X_down	586	539	277	98	0.25	1.0
population_size_change/p002-anomaly_case-N717_10X_down	1357	113	30	0	0.02	1.0
population_size_change/p005-anomaly_case-N498_10X_down	1082	343	46	29	0.05	1.0
population_size_change/p025-anomaly_case-N717_10X_down	1123	2	15	360	0.25	1.0
population_size_change/p010-anomaly_case-N620_10X_up	1175	175	135	15	0.1	1.0
population_size_change/p005-anomaly_case-N220_10X_up	752	673	67	8	0.05	1.0
population_size_change/p015-anomaly_case-N498_10X_down	1002	273	168	57	0.15	1.0
population_size_change/p015-anomaly_case-N238_10X_up	885	390	160	65	0.15	1.0
population_size_change/p020-anomaly_case-N119_10X_down	585	615	209	91	0.2	1.0
population_size_change/p015-anomaly_case-N620_10X_up	993	282	200	25	0.15	1.0
population_size_change/p010-anomaly_case-N238_10X_up	1303	47	127	23	0.1	1.0
population_size_change/p010-anomaly_case-N498_10X_down	1000	350	113	37	0.1	1.0
population_size_change/p010-anomaly_case-N119_10X_down	758	592	107	43	0.1	1.0
