edge	TN	FP	FN	TP	p	r	type	method	change	X11	SUNIT	SIZE	NGEN	CLADE_SIZE	HEIGHT_NGEN	HEIGHT_EDGE	DEPTH_NGEN	DEPTH_EDGE	TOTAL_NGEN	CU	True	recall	precision	f1	acc	fpr	fnr	expanded	ilr	sc	cu_bin	p_bin
N113	1409	61	30	0	0.02	1	recombination_rate_change	GaussianQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	61	0	0	0	0.939333333333333	0.0414965986394558	1	FALSE	FALSE	FALSE	(1,Inf]	(0,0.05]
N113	1105	20	374	1	0.25	1	recombination_rate_change	BestTopology+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	21	0.00266666666666667	0.0476190476190476	0.00505050505050505	0.737333333333333	0.0177777777777778	0.997333333333333	FALSE	FALSE	FALSE	(1,Inf]	(0.15,0.25]
N113	1125	0	2	373	0.25	1	recombination_rate_change	TopologyOrder+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	373	0.994666666666667	1	0.997326203208556	0.998666666666667	0	0.00533333333333333	TRUE	FALSE	FALSE	(1,Inf]	(0.15,0.25]
N113	1470	0	3	27	0.02	1	recombination_rate_change	PresentBP+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	27	0.9	1	0.947368421052632	0.998	0	0.1	TRUE	FALSE	FALSE	(1,Inf]	(0,0.05]
N113	1418	7	53	22	0.05	1	recombination_rate_change	GaussianQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	29	0.293333333333333	0.758620689655172	0.423076923076923	0.96	0.00491228070175439	0.706666666666667	TRUE	FALSE	FALSE	(1,Inf]	(0,0.05]
N113	1125	0	2	373	0.25	1	recombination_rate_change	BestTopology+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	373	0.994666666666667	1	0.997326203208556	0.998666666666667	0	0.00533333333333333	TRUE	FALSE	FALSE	(1,Inf]	(0.15,0.25]
N113	1350	0	150	0	0.1	1	recombination_rate_change	Phlag	10x increase	2.84797835350037	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	0	0	NA	0	0.9	0	1	FALSE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1442	28	30	0	0.02	1	recombination_rate_change	BarycentricBins(6)+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	28	0	0	0	0.961333333333333	0.019047619047619	1	FALSE	FALSE	TRUE	(1,Inf]	(0,0.05]
N113	1350	0	2	148	0.1	1	recombination_rate_change	TopologyOrder+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	148	0.986666666666667	1	0.993288590604027	0.998666666666667	0	0.0133333333333333	TRUE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1344	6	150	0	0.1	1	recombination_rate_change	PresentBP+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	6	0	0	0	0.896	0.00444444444444444	1	FALSE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1365	60	74	1	0.05	1	recombination_rate_change	GaussianQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	61	0.0133333333333333	0.0163934426229508	0.0147058823529412	0.910666666666667	0.0421052631578947	0.986666666666667	FALSE	FALSE	FALSE	(1,Inf]	(0,0.05]
N113	1348	2	150	0	0.1	1	recombination_rate_change	KmeansQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	2	0	0	0	0.898666666666667	0.00148148148148148	1	FALSE	TRUE	FALSE	(1,Inf]	(0.05,0.15]
N113	1425	0	75	0	0.05	1	recombination_rate_change	Phlag	10x increase	2.7812876701355	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	0	0	NA	0	0.95	0	1	FALSE	FALSE	FALSE	(1,Inf]	(0,0.05]
N113	1366	59	74	1	0.05	1	recombination_rate_change	KmeansQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	60	0.0133333333333333	0.0166666666666667	0.0148148148148148	0.911333333333333	0.0414035087719298	0.986666666666667	TRUE	TRUE	FALSE	(1,Inf]	(0,0.05]
N113	1397	28	74	1	0.05	1	recombination_rate_change	TopologyOrder+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	29	0.0133333333333333	0.0344827586206897	0.0192307692307692	0.932	0.0196491228070175	0.986666666666667	FALSE	FALSE	FALSE	(1,Inf]	(0,0.05]
N113	1295	55	149	1	0.1	1	recombination_rate_change	KmeansQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	56	0.00666666666666667	0.0178571428571429	0.00970873786407767	0.864	0.0407407407407407	0.993333333333333	TRUE	TRUE	FALSE	(1,Inf]	(0.05,0.15]
N113	1174	26	299	1	0.2	1	recombination_rate_change	BestTopology+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	27	0.00333333333333333	0.037037037037037	0.00611620795107034	0.783333333333333	0.0216666666666667	0.996666666666667	FALSE	FALSE	FALSE	(1,Inf]	(0.15,0.25]
N113	1350	0	2	148	0.1	1	recombination_rate_change	Phlag	10x increase	2.84797835350037	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	148	0.986666666666667	1	0.993288590604027	0.998666666666667	0	0.0133333333333333	TRUE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1275	0	2	223	0.15	1	recombination_rate_change	BarycentricBins(6)+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	223	0.991111111111111	1	0.995535714285714	0.998666666666667	0	0.00888888888888889	TRUE	FALSE	TRUE	(1,Inf]	(0.05,0.15]
N113	1200	0	3	297	0.2	1	recombination_rate_change	Phlag	10x increase	2.93812990188599	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	297	0.99	1	0.994974874371859	0.998	0	0.01	TRUE	FALSE	FALSE	(1,Inf]	(0.15,0.25]
N113	1350	0	2	148	0.1	1	recombination_rate_change	BestTopology+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	148	0.986666666666667	1	0.993288590604027	0.998666666666667	0	0.0133333333333333	TRUE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1321	29	149	1	0.1	1	recombination_rate_change	BestTopology+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	30	0.00666666666666667	0.0333333333333333	0.0111111111111111	0.881333333333333	0.0214814814814815	0.993333333333333	FALSE	FALSE	FALSE	(1,Inf]	(0.05,0.15]
N113	1397	28	74	1	0.05	1	recombination_rate_change	BarycentricBins(6)+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	29	0.0133333333333333	0.0344827586206897	0.0192307692307692	0.932	0.0196491228070175	0.986666666666667	FALSE	FALSE	TRUE	(1,Inf]	(0,0.05]
N113	1425	0	2	73	0.05	1	recombination_rate_change	PresentBP+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	73	0.973333333333333	1	0.986486486486487	0.998666666666667	0	0.0266666666666667	TRUE	FALSE	FALSE	(1,Inf]	(0,0.05]
N113	1125	0	2	373	0.25	1	recombination_rate_change	PresentBP+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	373	0.994666666666667	1	0.997326203208556	0.998666666666667	0	0.00533333333333333	TRUE	FALSE	FALSE	(1,Inf]	(0.15,0.25]
