	t1	t2	t3
Phoenicopteriformes_g	0.97408956	0.017828796	0.008081653
N81	0.5558497	0.23557438	0.20857596
Pterocliformes	0.95974463	0.01954398	0.020711362
N83	0.4906634	0.24514917	0.26418743
N86	0.48460898	0.29998618	0.21540484
N90	0.97945935	0.010019868	0.010520706
N91	0.37408322	0.32213306	0.30378374
Columbiformes	0.94401294	0.025741136	0.030245936
N93	0.354104	0.33560896	0.31028703
N97	0.8154258	0.025706941	0.1588673
Musophagiformes	0.9140833	0.061609954	0.024306767
N102	0.6066176	0.19222689	0.20115547
Otidiformes	0.97667474	0.012104588	0.011220713
N106	0.89947605	0.06087552	0.039648447
N109	0.9573671	0.007529704	0.035103127
N113	0.9222633	0.03648863	0.041248016
N114	0.9316793	0.04520738	0.023113297
N115	0.8443791	0.06581144	0.08980944
Cuculiformes	0.90867007	0.051542666	0.039787225
N117	0.35358182	0.33366033	0.31275785
N118	0.36767194	0.30431145	0.3280166
N119	0.32492974	0.32339376	0.35167652
N124	0.9743139	0.018348515	0.0073375264
N125	0.9420973	0.021490876	0.036411863
N130	0.96552044	0.020589909	0.013889664
N131	0.97941095	0.013215314	0.00737372
N132	0.75565904	0.13545214	0.10888881
Gruiformes	0.9450017	0.017993476	0.037004832
N137	0.99180746	0.0040887734	0.004103751
N138	0.9143439	0.04694716	0.03870891
N141	0.94584817	0.032920633	0.02123117
N144	0.98931223	0.0042927633	0.006394999
N145	0.9892858	0.005367135	0.005347024
N146	0.8451461	0.06637924	0.088474624
N150	0.96727824	0.01608548	0.016636256
N151	0.8628496	0.015669975	0.12148049
N154	0.94096434	0.035291966	0.023743736
N158	0.9661911	0.020279687	0.013529237
N159	0.85624194	0.044561785	0.0991963
N160	0.9277031	0.039987788	0.03230916
N161	0.9080621	0.039881185	0.052056707
N166	0.91869444	0.036179774	0.045125768
N167	0.9248575	0.04466052	0.030481972
N173	0.97626257	0.009800727	0.013936682
N174	0.8877313	0.057029504	0.05523915
N175	0.9833746	0.010478287	0.006147125
N176	0.64786047	0.17475	0.17738958
N179	0.37700495	0.30251455	0.3204805
N183	0.5134175	0.22239262	0.2641899
N184	0.9774712	0.01817578	0.004353067
N185	0.943503	0.025076125	0.031420823
N186	0.9650476	0.024063522	0.010888892
N187	0.95102227	0.02664052	0.022337193
N188	0.66260505	0.11562731	0.22176768
N189	0.86638707	0.061108753	0.07250415
Charadriiformes	0.949557	0.034288783	0.016154198
N191	0.3422559	0.33158177	0.32616234
N192	0.34898627	0.32907295	0.3219408
N196	0.64222103	0.17653221	0.18124673
Caprimulgidae	0.9134639	0.025517263	0.061018806
Nyctibiidae	0.969284	0.01227468	0.018441284
N202	0.3749118	0.30509698	0.31999123
N207	0.94286877	0.01951066	0.037620593
N210	0.9800885	0.0074604684	0.012451043
N211	0.8355851	0.091293946	0.07312089
N212	0.7731906	0.12241336	0.10439598
Caprimulgiformes1	0.35525262	0.33107886	0.31366852
N214	0.3747944	0.33094287	0.2942628
N215	0.53645504	0.23170972	0.23183522
Eurypygiformes	0.9792858	0.00951312	0.011201107
N220	0.47746482	0.27165014	0.25088504
Sphenisciformes	0.99393815	0.004036558	0.0020253428
N228	0.94724196	0.013113998	0.039644036
N233	0.58008856	0.20636868	0.21354282
N234	0.98099303	0.01217922	0.006827724
N235	0.6030621	0.21775027	0.17918763
N236	0.5640117	0.22248584	0.21350242
Procellariiformes	0.8362218	0.0737347	0.090043485
N238	0.39202437	0.30168587	0.30628976
N242	0.9854931	0.006964198	0.007542684
N245	0.98614675	0.006021406	0.007831869
N249	0.41133037	0.30112347	0.28754613
N250	0.8547179	0.040935513	0.10434657
N251	0.35274044	0.3354886	0.31177095
N252	0.45062828	0.27918962	0.270182
N257	0.81690675	0.16744465	0.015648587
N260	0.43395397	0.29131547	0.27473062
N264	0.7011536	0.14529152	0.15355492
N265	0.8859	0.0520505	0.062049508
N266	0.9973536	0.00096317334	0.0016832303
N267	0.708617	0.10780915	0.18357389
N268	0.91244096	0.037929684	0.049629387
N269	0.7608937	0.11564468	0.123461604
N270	0.46480232	0.25794163	0.27725604
Pelecaniformes	0.39249966	0.30655745	0.30094287
N272	0.47794864	0.27011618	0.25193515
N273	0.49917522	0.25503054	0.24579422
N274	0.35644424	0.31598565	0.32757014
N275	0.33219692	0.31069645	0.35710663
N276	0.34463325	0.3238428	0.33152404
N281	0.99537987	0.0015400411	0.0030800821
N282	0.98388785	0.0044990317	0.011613116
Strigiformes	0.850531	0.066349976	0.08311908
N290	0.9979492	4.9554546e-06	0.0020458158
N293	0.9748951	0.013829479	0.0112754125
N294	0.57115096	0.19313668	0.23571227
N295	0.9844025	0.005486283	0.010111212
N296	0.95144665	0.022153793	0.026399538
N297	0.9160403	0.038348127	0.045611538
Accipitriformes	0.42560247	0.29472113	0.2796764
N299	0.39454797	0.31948194	0.28597012
Coliiformes	0.96673083	0.01703439	0.016234824
Trogoniformes	0.973898	0.011716966	0.014385071
N309	0.9721632	0.013509539	0.014327295
N312	0.834967	0.07822623	0.08680675
Bucerotiformes	0.6893889	0.19362876	0.11698242
N317	0.91064626	0.02341983	0.065933935
N318	0.59846103	0.21188441	0.18965459
N324	0.5438018	0.23824953	0.2179487
N325	0.817416	0.02590997	0.156674
N326	0.7526246	0.1436874	0.10368802
N327	0.7146187	0.07140395	0.21397738
Coraciiformes	0.84869504	0.08857606	0.06272896
N331	0.81389517	0.08015831	0.10594653
N334	0.9298044	0.027251609	0.042943995
N340	0.57486135	0.22119531	0.20394331
N341	0.9309358	0.040932093	0.028132105
N342	0.5692936	0.21718216	0.21352425
N343	0.87709236	0.06012334	0.062784284
N344	0.88466156	0.06678402	0.04855443
Piciformes	0.65502083	0.17445831	0.17052086
N346	0.5050409	0.26712555	0.22783358
N347	0.48921824	0.25294828	0.25783348
N348	0.38170913	0.3350041	0.28328675
N349	0.39237827	0.32323334	0.2843884
N350	0.32298547	0.35470805	0.32230648
N351	0.3271552	0.2637158	0.409129
Cariamiformes	0.9895273	0.0070433733	0.0034293472
N358	0.99794555	0.0010272213	0.0010272213
Falconiformes	0.98014706	0.00906252	0.0107904095
N363	0.9266971	0.024805777	0.048497126
N367	0.9153809	0.042680766	0.04193837
N368	0.9095542	0.052399147	0.038046643
N369	0.9176862	0.03060927	0.051704492
Psittaciformes	0.9466937	0.016866032	0.036440205
N374	0.77679443	0.036805816	0.1863997
N377	0.3500413	0.31672645	0.33323225
N380	0.84062034	0.06936376	0.09001596
N381	0.44522974	0.27171686	0.28305337
N382	0.8374959	0.053879306	0.108624704
N385	0.91525096	0.008687248	0.076061785
N393	0.9804718	0.015189659	0.004338516
N394	0.7903292	0.097108684	0.11256206
N395	0.9592933	0.028533611	0.012173012
N396	0.4175021	0.29982653	0.28267133
N397	0.6667569	0.17834339	0.15489978
N398	0.68362254	0.18106562	0.1353118
N399	0.90787697	0.029462097	0.06266092
N402	0.97598547	0.016486593	0.007527998
N407	0.42824104	0.27248394	0.29927504
N413	0.4169457	0.31244162	0.27061263
N414	0.3980266	0.27402332	0.3279501
N415	0.5652321	0.19288921	0.24187872
N416	0.7426095	0.13736692	0.120023556
N417	0.37988657	0.31864256	0.30147088
N418	0.49230585	0.255845	0.25184914
N419	0.49285814	0.26007318	0.24706864
N420	0.95020634	0.024033057	0.025760587
N421	0.86744547	0.06823431	0.064320154
N422	0.85518277	0.05293803	0.09187925
N425	0.97788376	0.0106866	0.011429601
N428	0.83903927	0.06935877	0.0916019
N434	0.785562	0.114311956	0.10012607
N435	0.4524593	0.2903348	0.2572059
N436	0.77925175	0.116081044	0.10466723
N437	0.91046256	0.043970887	0.04556658
N440	0.5313853	0.21718414	0.2514306
N445	0.8447224	0.0768964	0.078381255
N451	0.39467523	0.31063434	0.29469043
N452	0.34757304	0.31452918	0.33789772
N458	0.9126161	0.038227092	0.049156852
N459	0.98675	0.008890248	0.0043596732
N460	0.9880068	0.007844738	0.004148423
N461	0.779573	0.113020346	0.107406646
N462	0.34414524	0.35727793	0.2985768
N463	0.50206083	0.25710675	0.24083237
N464	0.34826928	0.3460621	0.30566862
N465	0.9575989	0.01991531	0.022485796
N473	0.5002103	0.24966373	0.25012603
N474	0.60359883	0.17589924	0.22050191
N475	0.49857238	0.27782887	0.22359876
N476	0.37496743	0.35772187	0.26731074
N477	0.93770224	0.0388882	0.023409558
N482	0.63776386	0.17954603	0.18269011
N485	0.46098405	0.27191585	0.2671001
N490	0.8985928	0.033102438	0.068304755
N491	0.9102158	0.0486626	0.04112163
N492	0.4316325	0.30533952	0.26302794
N493	0.34764522	0.33886003	0.31349477
N494	0.35731125	0.32722834	0.31546044
N495	0.45745856	0.2699387	0.27260277
N496	0.35984322	0.2994396	0.3407172
N497	0.33956462	0.30934775	0.3510876
N498	0.3392831	0.31501278	0.3457041
N499	0.36039442	0.3142216	0.32538402
N500	0.61760414	0.19961667	0.18277927
N501	0.79306847	0.09699738	0.109934166
N506	0.73153734	0.135732	0.13273066
N510	0.94886583	0.027638918	0.023495302
N511	0.4097823	0.26534224	0.3248755
N516	0.8657955	0.07237569	0.061828848
N517	0.99037987	0.004725386	0.0048947306
N518	0.80247587	0.08706474	0.11045939
N521	0.5565884	0.31449178	0.12891984
N527	0.979833	0.008175482	0.011991516
N531	0.37367174	0.26355866	0.36276963
N532	0.7599371	0.13885449	0.1012084
N533	0.3815475	0.3442028	0.2742497
N537	0.9860666	0.0059809457	0.007952538
N543	0.9499615	0.036845837	0.013192669
N544	0.6748031	0.1691917	0.15600522
N545	0.4541314	0.28235662	0.263512
N546	0.4763156	0.25395554	0.26972887
N547	0.74648255	0.11858758	0.13492988
N550	0.91112006	0.010612465	0.07826746
N554	0.9709212	0.007753301	0.02132551
N555	0.72131467	0.14939684	0.12928851
N559	0.9587284	0.021172471	0.02009914
N560	0.9828284	0.0133973155	0.0037743063
N564	0.4763091	0.2666642	0.2570267
N565	0.477653	0.2585859	0.2637611
N566	0.4494757	0.32503438	0.22548993
N567	0.8690053	0.06427498	0.06671969
N568	0.4634521	0.28241608	0.25413182
N569	0.3802125	0.32356745	0.2962201
N570	0.3898745	0.30550635	0.30461916
N571	0.3416598	0.33905718	0.319283
N572	0.54254735	0.25076956	0.20668311
N573	0.60083157	0.21346065	0.18570782
N574	0.40515324	0.31319624	0.28165057
