I0	Myrmecophagidae
I1	Choloepus
I2	Pilosa
I3	Chlamyphoridae
I4	Cingulata
I5	Xenarthra
I6	Tenrecidae
I7	Afrosoricida
I8	Afrotheria
I9	Afrotheria
I10	Procaviidae
I11	Afrotheria
I12	Afrotheria
I13	Afrotheria
I14	Eutheria
I15	Lutrinae
I16	Mustelidae
I17	Mustelidae
I18	Musteloidea
I19	Musteloidea
I20	Monachinae
I21	Monachinae
I22	Pinnipedia
I23	Pinnipedia
I24	Caniformia
I25	Ursidae
I26	Caniformia
I27	Canis lupus
I28	Canidae
I29	Canidae
I30	Caniformia
I31	Felis
I32	Felinae
I33	Felinae
I34	Panthera
I35	Panthera
I36	Felidae
I37	Herpestidae
I38	Herpestidae
I39	Feliformia
I40	Feliformia
I41	Feliformia
I42	Feliformia
I43	Carnivora
I44	Manis
I45	Laurasiatheria
I46	Equus
I47	Equus
I48	Tapirus
I49	Ceratotherium simum
I50	Rhinocerotidae
I51	Rhinocerotidae
I52	Perissodactyla
I53	Perissodactyla
I54	Laurasiatheria
I55	Ovis
I56	Caprinae
I57	Capra
I58	Caprinae
I59	Caprinae
I60	Bovidae
I61	Bovidae
I62	Bovidae
I63	Bos
I64	Bovinae
I65	Bovinae
I66	Bovinae
I67	Bovidae
I68	Pecora
I69	Odocoileinae
I70	Cervidae
I71	Pecora
I72	Giraffidae
I73	Pecora
I74	Pecora
I75	Ruminantia
I76	Ziphiidae
I77	Delphinidae
I78	Phocoenidae
I79	Monodontidae
I80	Odontoceti
I81	Odontoceti
I82	Odontoceti
I83	Odontoceti
I84	Odontoceti
I85	Odontoceti
I86	Odontoceti
I87	Balaenoptera
I88	Mysticeti
I89	Mysticeti
I90	Cetacea
I91	Whippomorpha
I92	Artiodactyla
I93	Suina
I94	Artiodactyla
I95	Camelus
I96	Camelus
I97	Camelidae
I98	Artiodactyla
I99	Laurasiatheria
I100	Rhinolophoidea
I101	Hipposideros
I102	Rhinolophoidea
I103	Rhinolophoidea
I104	Pteropus
I105	Pteropodidae
I106	Pteropodidae
I107	Pteropodidae
I108	Yinpterochiroptera
I109	Myotis
I110	Myotis
I111	Myotis
I112	Vespertilionidae
I113	Vespertilionidae
I114	Vespertilionidae
I115	Vespertilionidae
I116	Miniopterus
I117	Yangochiroptera
I118	Yangochiroptera
I119	Phyllostomidae
I120	Phyllostomidae
I121	Phyllostomidae
I122	Phyllostomidae
I123	Phyllostomidae
I124	Mormoopidae
I125	Yangochiroptera
I126	Yangochiroptera
I127	Yangochiroptera
I128	Chiroptera
I129	Laurasiatheria
I130	Talpidae
I131	Talpidae
I132	Soricidae
I133	Eulipotyphla
I134	Eulipotyphla
I135	Eulipotyphla
I136	Laurasiatheria
I137	Mus
I138	Mus
I139	Mus
I140	Murinae
I141	Gerbillinae
I142	Muridae
I143	Muridae
I144	Cricetidae
I145	Cricetidae
I146	Cricetidae
I147	Cricetinae
I148	Cricetidae
I149	Neotominae
I150	Cricetidae
I151	Cricetidae
I152	Muroidea
I153	Muroidea
I154	Muroidea
I155	Dipodidae
I156	Dipodidae
I157	Myomorpha
I158	Dipodomys
I159	Heteromyidae
I160	Castorimorpha
I161	Rodentia
I162	Hystricomorpha
I163	Hystricomorpha
I164	Hystricomorpha
I165	Hystricomorpha
I166	Hystricomorpha
I167	Cavia
I168	Cavia
I169	Hystricomorpha
I170	Hystricomorpha
I171	Hystricomorpha
I172	Hystricomorpha
I173	Hystricomorpha
I174	Bathyergidae
I175	Hystricomorpha
I176	Hystricomorpha
I177	Hystricomorpha
I178	Hystricomorpha
I179	Hystricomorpha
I180	Rodentia
I181	Marmotini
I182	Marmotini
I183	Xerinae
I184	Sciuromorpha
I185	Gliridae
I186	Gliridae
I187	Sciuromorpha
I188	Rodentia
I189	Leporidae
I190	Lagomorpha
I191	Glires
I192	Tupaia
I193	Lorisiformes
I194	Eulemur
I195	Lemuridae
I196	Indriidae
I197	Cheirogaleidae
I198	Cheirogaleidae
I199	Lemuriformes
I200	Lemuriformes
I201	Strepsirrhini
I202	Strepsirrhini
I203	Callitrichinae
I204	Platyrrhini
I205	Cebus
I206	Cebidae
I207	Platyrrhini
I208	Atelidae
I209	Platyrrhini
I210	Pitheciidae
I211	Platyrrhini
I212	Colobinae
I213	Rhinopithecus
I214	Colobinae
I215	Colobinae
I216	Colobinae
I217	Colobinae
I218	Cercopithecinae
I219	Cercopithecinae
I220	Cercopithecinae
I221	Cercopithecinae
I222	Macaca
I223	Macaca
I224	Cercopithecinae
I225	Cercopithecinae
I226	Cercopithecidae
I227	Pan
I228	Homininae
I229	Homininae
I230	Hominidae
I231	Hominoidea
I232	Catarrhini
I233	Simiiformes
I234	Primates
I235	Euarchontoglires
I236	Euarchontoglires
I237	Euarchontoglires
I238	Boreoeutheria
I239	Eutheria
